State,FunctionalCategory,AgencyOrDivision,Title,Description,Format,Link,,,
Alabama,Disability Services,Dept. of Rehabilitation Services,Vendor Application (Early Intervention Services),Professional vendor/service application for AEIS,PDF,https://www.rehab.alabama.gov/documents/ei/for_vendors_and_ei_providers/EI%20Vendor%20application-revised-08-2023.pdf,,,
Alabama,Business Incorporation,Secretary of State,Certificate of Incorporation—Nonprofit Corporation,"Form and details to incorporate a nonprofit; outlines eligibility, required attachments, mailing procedures.",PDF,https://www.sos.alabama.gov/sites/default/files/2023-12/NonProfitIncorporation.pdf,,,
Alabama,Professional Vendors/Public Bids,Dept. of Human Resources,Employment/Training RFP—Vendor ID/TIN/Attestation Forms,MS Word documents as part of bids/RFPs to attest to business structure,DOCX,https://dhr.alabama.gov/wp-content/uploads/2022/02/FINAL-DRAFT-RFP-500-02-EMPLOYMENT-AND-TRAINING-VENDOR-PROPOSALupdated-B.docx,,,
Alabama,MSWord-Flag,Comptroller,Voucher Request for Payment,MSWord form for requesting state voucher payments (flagged as high remediation priority).,DOC,http://comptroller.alabama.gov/wp-content/uploads/2019/06/VOUCHER-REQUEST-FORM-AMBER-SHAFFER.doc,,,
Alaska,Workforce/Employment,Dept. of Administration,Workplace Alaska Standard Employment Application,Comprehensive job application for all State of Alaska positions; includes contact,PDF,https://doa.alaska.gov/dop/fileadmin/StatewideHR/pdf/WPAPaperApplication.pdf,,,
Alaska,Disability/DMV,DMV,Voluntary Disability Designator Application,For adding/removing disability designator on Alaska ID/driver license; requires applicant and physician sections.,PDF,https://dmv.alaska.gov/media/p5djgem5/486.pdf,,,
Alaska,Vocational Rehabilitation,Department of Labor,Community Rehabilitation Provider Application,Application for providers seeking to deliver rehabilitation services to disabled persons as contractors to the state.,PDF,https://labor.alaska.gov/dvr/crp/crp-app.pdf,,,
Alaska,Courts/Family Law,Alaska Court System,Uncontested Custody Complaint (Family Law),MS Word form to initiate uncontested child custody actions in Alaska courts; standardized for all counties.,DOC,https://courts.alaska.gov/shc/family/docs/shc-170.doc,,,
Alaska,Courts/Health,Alaska Court System,Alaska Advance Health Care Directive,MS Word form booklet for creating statutory health care directives; includes guidance for completion.,DOC,https://courts.alaska.gov/shc/family/docs/aahc-directive.doc,,,
Alaska,Environmental Response,DEC,Form 204 - Incident Documentation/Environmental Response,Fillable MSWord document for capturing details during environmental incidents (oil spills,DOCX,https://dec.alaska.gov/media/1390/form-204-fillable.docx,,,
Alaska,Alcohol Licensing,Commerce/Alcohol Board,Supplier Certification (Form AB-25),Certification required for alcohol suppliers/distillers; product line and compliance attestation.,PDF,https://www.commerce.alaska.gov/web/Portals/9/pub/ABC/AlcoholLicenseApplicationForms/AB-25.pdf,,,
Alaska,Disability/Workplace,Dept. of Administration,ADA Accommodation Request (Form EEOP 501),ADA accommodations application for employees; work tasks,PDF,https://doa.alaska.gov/ada/forms/ADAAccommodationPacket.pdf,,,
Alaska,Health/Vocational Rehab,Dept. of Retirement Benefits,Certification of Vocational Rehabilitation (PERS045),Form for certifying participation in vocational rehabilitation for public employees retirement purposes.,PDF,https://drb.alaska.gov/docs/forms/pers045.pdf,,,
Alaska,Environmental/Construction,DOT,Construction Stormwater Plan Worksheet (Form 25D-100),MS Word form for stormwater pollution prevention planning; required for DOT construction projects.,DOC,https://dot.alaska.gov/stwddes/dcsconst/assets/docs/constforms/swppp_forms/25d100.doc,,,
Arizona,Insurance Licensing,Dept. of Insurance,Insurance License Application (Individual) - Form L-169,Comprehensive insurance producer/agent/broker license application; paper form alternative to online portal.,PDF,https://insurance.az.gov/sites/default/files/documents/files/form_l-169_0.pdf,,,
Arizona,Health/TPA Compliance,Dept. of Insurance,Life and Health TPA Information Update (Form E-115),"To update business name, officers, or ownership for licensed third-party health/insurance administrators.",PDF,https://difi.az.gov/sites/default/files/Form%20E-115%20TPA%20Information%20Update_0_0.pdf,,,
Arizona,Workforce/Employment,Department of Administration,"State Employment/HR Forms (multiple, including Job Offer Letter, FMLA Letters, Disability Preference)","Suite of downloadable HR forms for agency use; many are fillable PDF or DOCX templates for employment actions, FMLA, disability accommodation, etc.",PDF/DOCX,https://hr.az.gov/about/resources/hr-forms-and-templates,,,
Arizona,Child Welfare/Health,Dept. of Child Safety,CSO-1104A Response by Relative/Person Having Care,"MS Word form for responses regarding child welfare, health records, or case management (forms library includes many DOCs for DCS care).",DOC,https://dcs.az.gov/sites/default/files/DCS-Forms/CSO-1104A_0.doc,,,
Arizona,IT/Security/Governance,Strategic Enterprise Technology,Risk Acceptance Form,"Department-level MS Word template for documenting and accepting, rather than remediating, IT/Security deficiencies. Key target for accessibility work.",DOCX,https://aset.az.gov/sites/default/files/Risk%20Acceptance%20Form.docx,,,
Arizona,Disability/Physical Therapy,State Board of Physical Therapy,Special Accommodations Request and Documentation of Disability,PDF form for requesting ADA testing accommodations for licensing/board exams; requires medical disclosure and documentation.,PDF,https://ptboard.az.gov/sites/default/files/documents/files/ADA%20Forms%20Filable.pdf,,,
Arizona,Health/TPA Licensing,Dept. of Insurance,"Biographical Affidavit (Form E-100-B, UCAA Form 11)",Required form for all board members/officers when updating TPA licensing info; ensures personal/financial transparency.,PDF,https://difi.az.gov/sites/default/files/documents/files/Form%20E-100-B%20TPA%20Biographical%20List_0.pdf,,,
Arizona,Disability/Tax,County Assessor,Certification of Disability for Property Tax Exemption,Local government form to certify qualifying disabilities for property tax exemption; includes medical certification and signature fields.,PDF,https://graham.az.gov/DocumentCenter/View/10777/Certification-Of-Disability-For-Property-Tax-Exemption-82514B-PDF,,,
Arizona,Paratransit/ADA,Mountain Line,ADA Paratransit Application,"Form for qualifying persons to apply for paratransit accessibility services; covers disability, eligibility, and contact info.",PDF,https://mountainline.az.gov/wp-content/uploads/2019/12/ADA-Paratransit-Application-Part-A-and-B.pdf,,,
Arizona,Health/Child Welfare,Dept. of Child Safety,Request for Restriction of Protected Health Information (DCS-1046A),MS Word template for restricting/investigating health records protection for children/family division.,DOC,https://dcs.az.gov/sites/default/files/DCS-Forms/DCS-1046A.doc,,,
Arizona,IT/Governance,Dept. of Administration,HRIS Security Authority Delegate Form,MS Word template for delegating authority for HR record access/system control. Used statewide for internal IT/HCM permissions.,DOCX,https://hr.az.gov/sites/default/files/2022-06/HRIS%2520Security%2520Authority%2520Delegate%2520Form.docx,,,
Arkansas,Employment/Labor,Dept. of Finance & Administration,Instructions for Form I-9 - Employment Eligibility Verification,Form and instructions covering federal employment eligibility with Arkansas-specific guidance (disability/alternate ID note included).,PDF,https://www.dfa.arkansas.gov/wp-content/uploads/i-9instr_1.pdf,,,
Arkansas,Health/Provider,Dept. of Human Services,Form HP-AR-004 Medicaid Adjustment Request,"Medicaid provider's form for reporting/correcting Medicaid payments, codes, or claims information; includes beneficiary details.",PDF,https://humanservices.arkansas.gov/wp-content/uploads/HP-AR-004.pdf,,,
Arkansas,Disability/Medicaid,Dept. of Human Services,Provider Application - DMS-652,"MS Word form for organizations/practitioners to become Medicaid providers (requires licensure, agreements, disclosure forms attachment).",DOC,https://humanservices.arkansas.gov/wp-content/uploads/DMS-652.doc,,,
Arkansas,Workforce Center Certification,Dept. of Workforce Services,Workforce Center Application for Certification (Form 6.4),Multi-page center application used to certify local and affiliate Workforce Centers for job-seeker/employer assistance programs.,PDF,https://dws.arkansas.gov/wp-content/uploads/Form-6.4-Arkansas-Workforce-Center-Application-for-Certification.pdf,,,
Arkansas,Grant/Appeals,Department of Finance Administration,Appeal Request Form,"Form for appealing agency decisions in benefit, tax, or public aid determinations. Often submitted by disabled or indigent claimants.",PDF,https://sas.arkansas.gov/wp-content/uploads/Appeal-Form-1-25-2024.pdf,,,
Arkansas,Education/Special Ed.,Dept. of Education,Specific Learning Disability SLD Determination Form,"Required special education eligibility form for disabilities, used in schools statewide for IDEA/IEP compliance.",PDF,https://arksped.ade.arkansas.gov/documents/policyAndRegulations/required-forms/SLD.pdf,,,
Arkansas,Environmental/Rehabilitation,Dept. of Finance Authority,Radon Compliance Certification (Rehab),Form certifying residential rehabilitation (including for disabled) compliance with radon standards.,PDF,https://adfa.arkansas.gov/wp-content/uploads/2025/04/Radon-Compliance-Certification-Rehab.pdf,,,
Arkansas,Health Care/Legal,Dept. of Health,Appointment of Health Care Agent (Advance Directive),"PDF for assigning a legal agent to make health care decisions, including for adults with disabilities or incapacity.",PDF,https://healthy.arkansas.gov/wp-content/uploads/AppointmentHealthCareAgentForm.pdf,,,
Arkansas,Medicaid/Provider,Dept. of Human Services,Provider Address Change Form (DMS-673),"MS Word form to update Medicaid provider address/contacts; provider number, NPI, and director details required for state records.",DOC,https://humanservices.arkansas.gov/wp-content/uploads/DMS-673.doc,,,
Arkansas,Teacher Certification,Dept. of Workforce Services,Teacher Waiver Form (Initial/Final),Waiver form (MS Word) required for teacher certification variances; completes employment/qualification records.,DOCX,https://dws.arkansas.gov/wp-content/uploads/Teacher-Waiver-Form-Initial-Final-8-23-2022.docx,,,
California,Disability/Health,Ca. Dept. Social Services,Health Care Certification (SOC 873),IHSS health care certification form for in-home support services; completed by medical provider for disability eligibility.,PDF,https://www.cdss.ca.gov/cdssweb/entres/forms/english/soc873.pdf,,,
California,Disability Insurance,Employment Development Dept.,"Disability Insurance Forms (DE 2501, etc.)",Comprehensive set of disability insurance claim forms/fact sheets for employees with qualifying disabilities.,PDF,https://edd.ca.gov/en/disability/DI_Forms_and_Publications/,,,
California,Retirement/Disability,CalPERS,Physician’s Report on Disability (CalPERS-1204),Form for doctors to support disability retirement benefit claims for public employees (CalPERS).,PDF,https://www.calpers.ca.gov/sites/default/files/spf/docs/forms-publications/physician-report-disability.pdf,,,
California,Legal/Probation,Board of Parole Hearings,Petition for Certificate of Rehabilitation and Pardon,Application for convicted persons to request governor’s pardon or rehabilitation certificate; rehabilitation history included.,PDF,https://www.cdcr.ca.gov/bph/wp-content/uploads/sites/161/2019/07/pv-Petition_For_Certification_of_Rehabilitation_and_Pardon-10-29-19-Remediated.pdf,,,
California,Courts/Family Law,Judicial Council,Income and Expense Declaration (FL-150),"Central form for all divorce, separation, or support cases statewide; financial and health data required.",PDF,https://courts.ca.gov/sites/default/files/courts/default/2024-11/fl150.pdf,,,
California,Disability/Workforce/Healthcare,EDD,Disability Insurance—Application for Benefits (DE 2501),"Key claim form for short-term disability; includes physician and patient sections, privacy notice, recurring use in claim workflows.",PDF,https://edd.ca.gov/siteassets/files/pdf_pub_ctr/de2501.pdf,,,
California,Disability/Education,Dept. of Health Care Services,MC 382—Medi-Cal Representative Authorization,Form to formally assign an advocate or representative to act on behalf of a disabled Medi-Cal recipient.,PDF,https://www.dhcs.ca.gov/formsandpubs/forms/Forms/MCED/MC_Forms/MC382_0618.pdf,,,
California,Transportation/Planning,Caltrans,Intake/Smartsheet Accessibility Intake Form (2024),"DOCX template for accessibility compliance/reporting in state/federal transportation planning; covers equity, climate, ADA, and more.",DOCX,https://dot.ca.gov/-/media/dot-media/programs/transportation-planning/documents/division-transportation-planning/final-mpdg-2024-intake-form-a11y.docx,,,
California,Environment/Drinking Water,Water Quality Board,Operational Evaluation Reporting Form,DOC MS Word form for utilities to report water quality operational incidents and corrective measures.,DOC,https://www.waterboards.ca.gov/drinking_water/programs/districts/docs/oe_report_oegm.doc,,,
California,Emergency Medical/Tracking,EMS Authority,Disaster Victim/Patient Tracking (HICS 254),DOCX form for hospitals/field teams to track/triage during mass emergencies or disasters (HIPAA/ADA fields).,DOCX,https://emsa.ca.gov/wp-content/uploads/sites/71/2017/07/HICS-254-Disaster-Victim-Patient-Tracking.docx,,,
California,Government Contracting,Department of General Services,Form GSPD-451 - Bid Contract Form,Legacy MS Word template for vendor bid solicitation and contract awards; requires accessibility remediation.,DOC,https://www.dgs.ca.gov/-/media/Divisions/PD/PTCS/OPPL/Model-Language/IT/GSPD451-080102.doc,,,
California,Compliance/Environment,SCAG,Conformity Streamlining Exemption Form,DOCX accessibility-compliant form for transportation projects seeking conformity exemptions from regulatory review.,DOCX,https://scag.ca.gov/sites/default/files/2024-05/conformity-exemption-form-a11y.docx,,,
Colorado,Disability/Medicaid,Dept. of Health Care Policy & Financing,Disability Application and Medical Records Form,"Comprehensive disability application for Medicaid, including sections for medical providers, eligibility, supporting documentation.",PDF,https://hcpf.colorado.gov/sites/hcpf/files/Disability%20Application%20-%20English.pdf,,,
Colorado,ADA/504/Compliance,Dept. of Health Care Policy & Financing,Reasonable Modification Request Form,"Form for requesting reasonable accommodation under ADA, 504. Covers applicant info, requested modifications, and official administrative response.",PDF,https://hcpf.colorado.gov/sites/hcpf/files/Reasonable%20Modification%20Request%20Form.pdf,,,
Colorado,Disability/Claims,State Personnel Board,Disability Claim Form,"Claim and certification form for disability insurance coordinated with state employment; includes history, diagnosis, and treatment certification.",PDF,https://dhr.colorado.gov/sites/dhr/files/documents/Colorado%20(State%20of)%20(CU-5789).pdf,,,
Colorado,Disability/DMV,Dept. of Revenue,DR 2445 - Statement of Transfer,Used for transferring vehicle title; required for certain transactions when notarization is not needed. Includes seller certifications.,PDF,https://dmv.colorado.gov/sites/dmv/files/DR2445.pdf,,,
Colorado,Workforce/Development,Dept. of Natural Resources,"COSWAP Workforce Development Application (CYCA, DOC)","State's wildland fire and emergency workforce program application; includes sections for applicant corps, individual, and organization details.",PDF,https://dnr.colorado.gov/sites/dnr/files/documents/All%202025%20COSWAP%20Workforce%20Development%20Applications%20(CYCA,%20DOC,%20Independent%20Corps,%20Trainings).pdf
Colorado,Personnel/Job Description,Military & Veterans Affairs,PDQ Form (Position Description Questionnaire),"MS Word form to describe/classify positions for state employment, with ADA and personnel compliance fields.",DOC,https://dmva.colorado.gov/sites/dmva/files/PDQTraditional_0.doc,,,
Colorado,Justice/Disputes,Personnel Board,Consolidated Appeal & Dispute Form,"State employment appeal/dispute form; used for employee discipline, job status, discrimination, and wrongful termination cases.",PDF,https://spb.colorado.gov/sites/spb/files/documents/Consolidated%20Appeal%20-%20Form%20-%202025.pdf,,,
Colorado,Worker's Comp/Labor,Division of Workers' Compensation,"Workers' Compensation Forms Portal (WC1, WC6, WC12, more)","Suite of forms for claims (employee injury, employer report, return to work, physician status, premium certification, cost containment, and others).",PDF,https://cdle.colorado.gov/dwc/resources/forms,,,
Colorado,Background Checks,Criminal Justice Planning Unit,Background Release Form,MS Word form for applicants/employees/volunteers to authorize criminal background checks in state agencies.,DOCX,https://cjpu.colorado.gov/sites/cjpu/files/documents/Background-Release-Form.docx,,,
Colorado,Disability/Labor,Division of Vocational Rehabilitation,Disability Preference Pilot - Acceptable Eligibility Documentation,Document outlining proof requirements for employment preference for disabled applicants in pilot programs.,PDF,https://dvr.colorado.gov/sites/dvr/files/Disability_Hiring_Pref_Acceptable_Eligibility_Documentation_Feb172022.pdf,,,
Colorado,Slot/Kiosk/Regulated Gaming,State Gaming Board,Sample Selection Documentation Form,MS Word form for compliance officers to document observation/sample selection dates for regulated gaming facilities.,DOC,https://sbg.colorado.gov/sites/sbg/files/documents/Sample%20Selection%20Documentation%20Form%20November%202022.doc,,,
Connecticut,Disability/Retirement,Teachers’ Retirement Board,Disability Application,"Multi-section disability application for teacher retirement benefits, including physician and HR director certification; covers all major systems/disabilities.",PDF,https://portal.ct.gov/-/media/trb/content/retired/ai_disapp.pdf,,,
Connecticut,Disability/Insurance,Supplier Diversity Program,Determination of Disability (Owners) SMBE Certification,PDF form for small/minority business owners to prove eligibility for disability accommodation in contracts and grants.,PDF,https://portal.ct.gov/-/media/DAS/Procurement-Services/Supplier-Diversity/Disability-form_SMBE-Certification.pdf,,,
Connecticut,Disability/Compliance,Judicial Branch,Americans with Disabilities Act Accommodation Request,"Judicial branch ADA request for accommodation form; covers court access, documentation, and contact for compliance.",PDF,https://www.signnow.com/fill-and-sign-pdf-form/134590-americans-with-disabilities-act-ct-judicial-branch,,,
Connecticut,Workers’ Compensation,Workers’ Compensation Commission,Physician’s Permanent Impairment Evaluation (Form 42),"Form for medical professionals to report percent permanent impairment for worker's compensation, required for disability rating.",PDF,https://portal.ct.gov/-/media/WCC/forms/medical-forms/42.pdf,,,
Connecticut,Disability/Medical,DDS,Certified Non-licensed Staff Medication Administration Error,MS Word form for tracking medication errors by disability support staff and identifying patterns for regulatory reporting.,DOC,https://portal.ct.gov/-/media/DDS/DDS_Manual/ID_Quality/med_sanctions/IDPR014AttachmentBMedAdminErrorTrackingForm906.doc,,,
Connecticut,Business/Compliance,Dept. of Energy & Environmental Protection,Applicant Compliance Information Form,MS Word form for businesses/entities applying for permits to report compliance or regulatory issues and resolve enforcement cases.,DOC,https://portal.ct.gov/-/media/DEEP/Permits_and_Licenses/Common_Forms/complianceformdoc.doc,,,
Connecticut,Self-Employment/Medical Aid,Dept. of Social Services,Self-employed Income and Expenses for Medical Assistance (W-38),DOCX form for reporting business and medical income/expenses for Medicaid; includes instructions for visually impaired/deaf/hard of hearing.,DOCX,https://portal.ct.gov/-/media/Departments-and-Agencies/DSS/Common-Applications/w-38.docx,,,
Connecticut,Elections,Gov Secretary,SUPPLY ORDER FORM,MS Word form for Connecticut towns and polling locations to request accessible election supplies (remediation priority—for all polling stations).,DOC,https://portal.ct.gov/-/media/SOTS/ElectionServices/ElectForms/electforms/SUPPLY-ORDER-FORM.doc,,,
Connecticut,Education/Special Needs,Dept. of Education,IEP Manual and Forms,"IEP forms book for special education/IDEA compliance—eligibility categories, PPT meetings, disability documentation. Revised July 2021.",PDF,https://portal.ct.gov/dss/-/media/departments-and-agencies/dss/health-and-home-care/autism-spectrum-disorder/categories/iep-manual-revised-july-2021.pdf,,,
Connecticut,General Government/Forms Repository,DSS/Elders/Benefits,"Statewide forms portal including burial, home care, Medicaid, elder benefits, income, parentage, accessible for screen readers and available in multiple languages.",,PDF,https://portaldir.ct.gov/dss/eduplicating/viewforms.asp,,,
Delaware,Disability/HR,Dept. of Human Resources,ADA Healthcare Provider Questionnaire,"PDF form for employees to request and substantiate ADA workplace accommodations, completed by a health provider.",PDF,https://dhr.delaware.gov/policies/documents/ada-healthcare-questionnaire.pdf,,,
